setting_name,include_labels,include_meshes,top_k,accuracy,hallucination
with_labels_mesh,1,1,1,0.175000,0.092000
with_labels_mesh,1,1,2,0.182000,0.069000
with_labels_mesh,1,1,3,0.207000,0.076000
with_labels_mesh,1,1,4,0.228000,0.104000
with_labels_mesh,1,1,5,0.224000,0.094000
no_labels_mesh,0,0,1,0.194000,0.091000
no_labels_mesh,0,0,2,0.200000,0.075000
no_labels_mesh,0,0,3,0.223000,0.087000
no_labels_mesh,0,0,4,0.248000,0.101000
no_labels_mesh,0,0,5,0.247000,0.103000
