setting_name,include_labels,include_meshes,top_k,accuracy,hallucination,avg_t_retrieve_ms,avg_t_llm_ms,avg_t_total_ms
with_labels_mesh,1,1,1,0.175000,0.092000,90.149,17.365,107.525
with_labels_mesh,1,1,2,0.184000,0.069000,91.002,19.668,110.681
with_labels_mesh,1,1,3,0.208000,0.078000,89.648,37.425,127.086
with_labels_mesh,1,1,4,0.230000,0.102000,90.540,48.133,138.687
with_labels_mesh,1,1,5,0.223000,0.094000,90.918,59.581,150.515
no_labels_mesh,0,0,1,0.198000,0.091000,89.471,14.914,104.396
no_labels_mesh,0,0,2,0.200000,0.076000,90.806,16.117,106.936
no_labels_mesh,0,0,3,0.223000,0.087000,90.307,26.849,117.170
no_labels_mesh,0,0,4,0.249000,0.102000,89.554,39.808,129.377
no_labels_mesh,0,0,5,0.247000,0.105000,90.397,48.741,139.155
