setting_name,include_labels,include_meshes,top_k,accuracy,hallucination
with_labels_mesh,1,1,1,0.175000,0.092000
with_labels_mesh,1,1,2,0.184000,0.069000
with_labels_mesh,1,1,3,0.208000,0.078000
with_labels_mesh,1,1,4,0.230000,0.102000
with_labels_mesh,1,1,5,0.223000,0.094000
no_labels_mesh,0,0,1,0.198000,0.091000
no_labels_mesh,0,0,2,0.200000,0.076000
no_labels_mesh,0,0,3,0.223000,0.087000
no_labels_mesh,0,0,4,0.249000,0.102000
no_labels_mesh,0,0,5,0.247000,0.105000
