setting_name,include_labels,include_meshes,top_k,accuracy,hallucination,used_retrieval_rate,avg_t_self_ms,avg_t_retrieve_ms,avg_t_total_ms
with_labels_mesh,1,1,1,0.288000,0.217000,0.616000,154.226,56.299,221.247
with_labels_mesh,1,1,2,0.296000,0.203000,0.618000,154.253,56.124,221.766
with_labels_mesh,1,1,3,0.317000,0.204000,0.618000,154.946,56.583,225.378
with_labels_mesh,1,1,4,0.321000,0.218000,0.616000,155.037,56.445,241.177
with_labels_mesh,1,1,5,0.325000,0.218000,0.616000,155.183,55.685,247.666
no_labels_mesh,0,0,1,0.296000,0.214000,0.616000,153.667,55.545,218.502
no_labels_mesh,0,0,2,0.304000,0.206000,0.618000,154.073,55.597,219.736
no_labels_mesh,0,0,3,0.322000,0.209000,0.618000,153.772,56.429,220.655
no_labels_mesh,0,0,4,0.324000,0.224000,0.618000,154.086,55.789,228.086
no_labels_mesh,0,0,5,0.335000,0.227000,0.616000,154.903,56.347,241.446
